icd10,icd9
D190,2124
D191,2118
D197,2298
D199,2299
D200,2118
D201,2118
D210,2150
D211,2152
D212,2153
D213,2154
D214,2155
D215,2156
D216,2157
D219,2159
D220,2160
D221,2161
D222,2162
D223,2163
D224,2164
D225,2165
D226,2166
D227,2167
D229,2169
D230,2160
D231,2161
D232,2162
D233,2163
D234,2164
D235,2165
D236,2166
D237,2167
D239,2169
D24,217
D250,2180
D251,2181
D252,2182
D259,2189
D260,2190
D261,2191
D267,2198
D269,2199
D27,220
D280,2212
D281,2211
D282,2210
D287,2218
D289,2219
D290,2221
D291,2222
D292,2220
D293,2223
D294,2224
D297,2228
D299,2229
D300,2230
D301,2231
D302,2232
D303,2233
D304,22381
D307,22389
D309,2239
D310,2243
D311,2244
D312,2245
D313,2246
D314,2240
D315,2242
D316,2241
D319,2249
D320,2252
D321,2254
D329,2252
D330,2250
D331,2250
D332,2250
D333,2251
D334,2253
D337,2258
D339,2259
D34,226
D350,2270
D351,2271
D352,2273
D353,2273
D354,2274
D355,2275
D356,2276
D357,2278
D358,2278
D359,2279
D360,2290
D361,2158
D367,2298
D369,2299
D370,2351
D371,2352
D372,2352
D373,2352
D374,2352
D375,2352
D376,2353
D377,2355
D379,2355
D380,2356
D381,2357
D382,2358
D383,2358
D384,2358
D385,2359
D386,2359
D390,2360
D391,2362
D392,2361
D397,2363
D399,2363
D400,2365
D401,2364
D407,2366
D409,2366
D410,23691
D411,23691
D412,23691
D413,23699
D414,2367
D417,23699
D419,23690
D420,2376
D421,2376
D429,2376
D430,2375
D431,2375
D432,2375
D433,2379
D434,2375
D437,2379
D439,2379
D440,2374
D441,2372
D442,2374
D443,2370
D444,2370
D445,2371
D446,2373
D447,2373
D448,2580
D449,2374
D45,2384
D460,2387
D461,2387
D462,2387
D463,2387
D464,2387
D467,2387
D469,2387
D470,2385
D471,2387
D472,2731
D473,2387
D477,2387
D479,2387
D480,2380
D481,2381
D482,2381
D483,2354
D484,2354
D485,2382
D486,2383
D487,2388
D489,2389
D500,2800
D501,2808
D508,2808
D509,2809
D510,2810
D511,2811
D512,2813
D513,2811
D518,2811
D519,2811
D520,2812
D521,2812
D528,2812
D529,2812
D530,2814
D531,2819
D532,2818
D538,2818
D539,2819
D550,2822
D551,2822
D552,2823
D553,2823
D558,2823
D559,2823
D560,2824
D561,2824
D562,2824
D563,2824
D564,2827
D568,2824
D569,2824
D570,28262
D571,28261
D572,28263
D573,2825
D578,28269
D580,2820
D581,2821
D582,2827
D588,2828
D589,2829
D590,2830
D591,2830
D592,28319
D593,28311
D594,28319
D595,2832
D596,2832
D598,2839
D599,2839
D600,2848
D601,2848
D608,2848
D609,2848
D610,2840
D611,2848
D612,2848
D613,2849
D618,2848
D619,2849
D62,2851
D630,2859
D638,2859
D640,2850
D641,2850
D642,2850
D643,2850
D644,2858
D648,2858
D649,2859
D65,2866
D66,2860
D67,2861
D680,2864
D681,2862
D682,2863
D683,2865
D684,2867
D688,2869
D689,2869
D690,2870
D691,2871
D692,2872
D693,2873
D694,2873
D695,2874
D696,2875
D698,2878
D699,2879
D70,2880
D71,2881
D720,2882
D721,2883
D728,2888
D729,2889
D730,28959
D731,2894
D732,28951
D733,28959
D734,28959
D735,28959
D738,28959
D739,28950
D740,2897
D748,2897
D749,2897
D750,2896
D751,2890
D752,2899
D758,2898
D759,2899
D760,2778
D761,2778
D762,2778
D763,2778
D77,2899
D800,27904
D801,27900
D802,27901
D803,27903
D804,27902
D805,27905
D806,27909
D807,27909
D808,27909
D809,27909
D810,2792
D811,2792
D812,2792
D813,2772
D814,27913
D815,2772
D816,2792
D817,2792
D818,2792
D819,2792
D820,27912
D821,27911
D822,27919
D823,27919
D824,27919
D828,2793
D829,2793
D830,27906
D831,27906
D832,27906
D838,27906
D839,27906
D840,27919
D841,2798
D848,2793
D849,2793
D860,135
D861,135
D862,135
D863,135
D868,135
D869,135
D890,2730
D891,2732
D892,2898
D898,2798
D899,2799
E000,243
E001,243
E002,243
E009,243
E010,2409
E011,2411
E012,2409
E018,2442
E02,2442
E030,2461
E031,243
E032,2443
E033,2448
E034,2468
E035,78001
E038,2448
E039,2449
E040,2400
E041,2410
E042,2411
E048,2419
E049,2419
E050,24200
E051,24210
E052,24220
E053,24240
E054,24280
E055,24291
E058,24280
E059,24290
E060,2450
E061,2451
E062,2458
E063,2452
E064,2454
E065,2458
E069,2459
E070,2460
E071,2461
E078,2468
E079,2469
E1000,25031
E1001,25033
E1010,25011
E1011,25013
E1020,25041
E1021,25043
E1030,25051
E1031,25053
E1040,25061
E1041,25063
E1050,25071
E1051,25073
E1060,25081
E1061,25083
E1070,25081
E1071,25083
E1080,25091
E1081,25093
E1090,25001
E1091,25003
E1100,25030
E1101,25032
E1110,25010
E1111,25012
E1120,25040
E1121,25042
E1130,25050
E1131,25052
E1140,25060
E1141,25062
E1150,25070
E1151,25072
E1160,25080
E1161,25082
E1170,25080
E1171,25082
E1180,25090
E1181,25092
E1190,25000
E1191,25002
E1200,25030
E1201,25032
E1210,25010
E1211,25012
E1220,25040
E1221,25042
E1230,25050
E1231,25052
E1240,25060
E1241,25062
E1250,25070
E1251,25072
E1260,25080
E1261,25082
E1270,25080
E1271,25082
E1280,25090
E1281,25092
E1290,25000
E1291,25002
E1300,25030
E1301,25032
E1310,25010
E1311,25012
E1320,25040
E1321,25042
E1330,25050
E1331,25052
E1340,25060
E1341,25062
E1350,25070
